"Croft Street, Crook DL15 8QF",C001,416375,535394
"Hopper House, Durham",C002,426896,542602
"Hopper House, Durham",C003,426883,542612
"Hopper House, Durham",C004,426910,542591
"Greencroft, Stanley",C005,416642,550669
"Greencroft, Stanley",C006,416643,550653
"Greencroft, Stanley",C007,416648,550670
"Greencroft, Stanley",C008,416626,550652
"Greencroft, Stanley",C009,416661,550654
"Green Lane, Spennymoor - Main Reception",C010,427167,534160
"Green Lane, Spennymoor - Main Reception",C011,427172,534162
"Green Lane, Spennymoor - Main Entrance",C012,427177,534161
"Green Lane, Spennymoor - Main Entrance",C013,427172,534157
"Green Lane, Spennymoor - Main Entrance",C014,427163,534154
"Green Lane, Spennymoor - Main Reception",C015,427169,534153
"Green Lane, Spennymoor - Main Entrance",C016,427158,534153
"Green Lane, Spennymoor - Main Entrance Interview Rooms x4",C017,427152,534150
"Green Lane, Spennymoor - Civic Entrance",C018,427157,534147
"Green Lane, Spennymoor - External",C019,427301,534122
"Green Lane, Spennymoor - External",C020,427199,534105
"Green Lane, Spennymoor - External",C021,427202,534176
"Front Street, Chester le Street",C022,427482,551179
"Front Street, Chester le Street",C023,427479,551176
"Front Street, Chester le Street",C024,427513,551180
"Front Street, Chester le Street",C025,427484,551175
"Front Street, Chester le Street",C026,427506,551175
"Front Street, Chester le Street",C027,427478,551181
Fostering & Adoption Littleburn Ind Est Langley Moor,C028,425151,540134
"Clevesferye House, Ferryhill",C029,429648,532354
"Clevesferye House, Ferryhill",C030,429655,532326
"Clevesferye House, Ferryhill",C031,429648,532330
"Clevesferye House, Ferryhill",C032,429650,532318
"Clevesferye House, Ferryhill",C033,429644,532351
"Clevesferye House, Ferryhill",C034,429655,532343
"Essington House, Peterlee",C035,442239,542009
"Essington House, Peterlee",C036,442250,542011
"Essington House, Peterlee",C037,442246,542004
"Essington House, Peterlee",C038,442241,542004
"The Workplace, Newton Aycliffe",C039,427529,522421
"The Workplace, Newton Aycliffe",C040,427507,522426
"The Workplace, Newton Aycliffe",C041,427551,522384
"Education Development Centre, Spennymoor",C042,427313,534752
"Education Development Centre, Spennymoor",C043,427309,534749
"Education Development Centre, Spennymoor",C044,427289,534735
"Education Development Centre, Spennymoor",C045,427311,534733
"Education Development Centre, Spennymoor",C046,427326,534736
"Education Development Centre, Spennymoor",C047,427300,534722
"Education Development Centre, Spennymoor",C048,427335,534751
"Education Development Centre, Spennymoor",C049,427281,534755
"Education Development Centre, Spennymoor",C050,427291,534767
"Education Development Centre, Spennymoor",C051,427328,534810
"Education Development Centre, Spennymoor",C052,427318,534754
Benfieldside Childrens Centre,C053,409501,551972
Benfieldside Childrens Centre,C054,409494,551972
Benfieldside Childrens Centre,C055,409505,551971
Benfieldside Childrens Centre,C056,409489,551970
Benfieldside Childrens Centre,C057,409516,551977
Seaham Childrens Centre,C058,441350,548908
Seaham Childrens Centre,C059,441344,548911
Seaham Childrens Centre,C060,441342,548917
Seaham Childrens Centre,C061,441341,548921
Seaham Childrens Centre,C062,441354,548929
Seaham Childrens Centre,C063,441360,548930
Seaham Childrens Centre,C064,441369,548924
Seaham Childrens Centre,C065,441367,548930
Murton Childrens Centre,C066,439329,547355
Murton Childrens Centre,C067,439324,547356
Dean Bank Childrens Centre,C068,428206,532585
Chester le Street One Point Hub,C069,427678,551362
Chester le Street One Point Hub,C070,427679,551358
Chester le Street One Point Hub,C071,427684,551352
Chester le Street One Point Hub,C072,427691,551363
Chester le Street One Point Hub,C073,427686,551344
Coundon Childrens Centre,C074,424094,529619
Coundon Childrens Centre,C075,424081,529631
Coundon Childrens Centre,C076,424103,529635
Coundon Childrens Centre,C077,424087,529606
Coundon Childrens Centre,C078,424075,529619
Coundon Childrens Centre,C079,424081,529607
Coundon Childrens Centre,C081,424077,529608
Coundon Childrens Centre,C082,424096,529638
Coundon Childrens Centre,C083,424088,529639
Councon Childrens Centre,C084,424074,529630
Councon Childrens Centre,C085,424090,529632
Councon Childrens Centre,C086,424090,529632
Coundon Childrens Centre,C089,424098,529628
Councon Childrens Centre,C090,424088,529620
Woodhouse Close Childrens Centre,C091,420301,528052
Woodhouse Close Childrens Centre,C092,420288,528071
Woodhouse Close Childrens Centre,C093,420288,528044
Woodhouse Close Childrens Centre,C094,420278,528070
Woodhouse Close Childrens Centre,C095,420299,528064
Woodhouse Close Childrens Centre,C096,420276,528044
Woodhouse Close Childrens Centre,C097,420298,528041
Woodhouse Close Childrens Centre,C098,420276,528054
Woodhouse Close Childrens Centre,C099,420302,528059
Willington Children's Centre,C100,419743,535002
Willington Children's Centre,C101,419744,535020
Willington Children's Centre,C102,419748,535016
Willington Children's Centre,C103,419727,535014
Willington Children's Centre,C104,419740,534996
Willington Children's Centre,C105,419739,535023
Willington Children's Centre,C106,419731,534996
Willington Children's Centre,C107,419746,535010
Willington Children's Centre,C108,419734,535013
Willington Children's Centre,C109,419717,535006
Shildon Childrens Centre,C110,422753,525913
Laurel Avenue Childrens Centre,C111,429016,542439
Sacriston Childrens Centre,C112,424346,546579
Sacriston Childrens Centre,C113,424340,546589
Kelloe Childrens Centre,C114,434128,536427
Kelloe Childrens Centre,C115,434152,536430
Kelloe Childrens Centre,C116,434140,536425
Kelloe Childrens Centre,C117,434152,536424
Sherburn Hill Childrens Centre,C118,433681,542125
Sherburn Hill Childrens Centre,C119,433647,542140
Sherburn Hill Childrens Centre,C120,433660,542145
Sherburn Hill Childrens Centre,C121,433646,542150
Brandon Childrens Centre,C122,424008,539648
Ushaw Moor Childrens Centre,C123,423237,542556
Ushaw Moor Childrens Centre,C124,423228,542538
Haswell Childrens Centre,C125,437352,543140
Howletch Childrens Centre,C126,441667,540610
Shotton Childrens Centre,C127,439345,541244
Shotton Childrens Centre,C128,439379,541243
Seascape Childrens Centre,C129,443438,541297
Horden Childrens Centre,C130,444503,541045
Horden Childrens Centre,C131,444518,541077
Horden Childrens Centre,C132,444498,541046
Horden Childrens Centre,C133,444511,541037
Horden Childrens Centre,C134,444510,541066
Denehouse Childrens Centre,C135,443927,540473
Blackhall Childrens Centre,C136,445589,539493
Blackhall Childrens Centre,C137,445619,539509
Blackhall Childrens Centre,C138,445565,539534
"Hill Rigg House, Peterlee",C139,442239,541948
Wheatley Hill Childrens Centre,C140,437243,538669
Wheatley Hill Childrens Centre,C141,437253,538643
Wheatley Hill Childrens Centre,C142,437254,538664
Wheatley Hill Childrens Centre,C143,437280,538644
Wheatley Hill Childrens Centre,C144,437268,538647
Wheatley Hill Childrens Centre,C145,437258,538668
Wheatley Hill Childrens Centre,C146,437252,538659
Wheatley Hill Childrens Centre,C147,437262,538658
Wheatley Hill Childrens Centre,C148,437258,538661
Wheatley Hill Childrens Centre,C149,437253,538653
Wheatley Hill Childrens Centre,C150,437263,538639
Wheatley Hill Childrens Centre,C151,437258,538641
Wheatley Hill Childrens Centre,C152,437263,538651
Wheatley Hill Childrens Centre,C153,437255,538649
Wheatley Hill Childrens Centre,C158,439995,537735
Stanley One Point Hub,C159,419210,552697
Stanley One Point Hub,C160,419219,552690
Stanley One Point Hub,C161,419208,552688
Stanley One Point Hub,C162,419186,552722
Stanley Childrens Centre,C163,419514,552904
Spectrum 8 - No. 1 entrance lobby,N001,443438,548150
Spectrum 8 - No. 2 reception area,N002,443450,548151
